"ITTER107","TIPO_DATO15","SEXISTAT1","ETA1","STATCIV2","TIME","Value","Flag Codes"
"015012","JAN","9","TOTAL","99","2017",17364,
"015012","JAN","9","TOTAL","99","2018",17304,
"017012","JAN","9","TOTAL","99","2014",1207,
"017012","JAN","9","TOTAL","99","2015",1204,
"017012","JAN","9","TOTAL","99","2016",1189,
"017012","JAN","9","TOTAL","99","2017",1203,
"017012","JAN","9","TOTAL","99","2018",1182,
"016020","JAN","9","TOTAL","99","2014",4402,
"016020","JAN","9","TOTAL","99","2015",4387,
"016020","JAN","9","TOTAL","99","2016",4342,
"016020","JAN","9","TOTAL","99","2017",4291,
"016020","JAN","9","TOTAL","99","2018",4270,
"108005","JAN","9","TOTAL","99","2014",6923,
"108005","JAN","9","TOTAL","99","2015",6956,
"108005","JAN","9","TOTAL","99","2016",6956,
"108005","JAN","9","TOTAL","99","2017",7013,
"108005","JAN","9","TOTAL","99","2018",7015,
"013015","JAN","9","TOTAL","99","2014",589,
"013015","JAN","9","TOTAL","99","2015",602,
"013015","JAN","9","TOTAL","99","2016",599,
"013015","JAN","9","TOTAL","99","2017",577,
"013015","JAN","9","TOTAL","99","2018",582,
"097005","JAN","9","TOTAL","99","2014",2505,
"097005","JAN","9","TOTAL","99","2015",2468,
"097005","JAN","9","TOTAL","99","2016",2437,
"097005","JAN","9","TOTAL","99","2017",2429,
"097005","JAN","9","TOTAL","99","2018",2408,
"016021","JAN","9","TOTAL","99","2014",1877,
"016021","JAN","9","TOTAL","99","2015",1907,
"016021","JAN","9","TOTAL","99","2016",1951,
"016021","JAN","9","TOTAL","99","2017",1965,
"016021","JAN","9","TOTAL","99","2018",1980,
"097006","JAN","9","TOTAL","99","2014",5191,
"097006","JAN","9","TOTAL","99","2015",5143,
"097006","JAN","9","TOTAL","99","2016",5140,
"097006","JAN","9","TOTAL","99","2017",5122,
"097006","JAN","9","TOTAL","99","2018",5101,
"097007","JAN","9","TOTAL","99","2014",1327,
"097007","JAN","9","TOTAL","99","2015",1303,
"097007","JAN","9","TOTAL","99","2016",1312,
"097007","JAN","9","TOTAL","99","2017",1349,
"097007","JAN","9","TOTAL","99","2018",1338,
"018009","JAN","9","TOTAL","99","2014",1643,
